ID;Initial Set;Title;Authors;Year of publication;Study Type;Category;Topic;Level of Focus;Industry involvement;Providing Tool
1;;Performance optimization in mobile-edge computing via deep reinforcement learning;X Chen, H Zhang, C Wu, S Mao, Y Ji…;2018;Solution;AI4E;Offloading;System;Academic;No
2;;Reliable federated learning for mobile networks;J Kang, Z Xiong, D Niyato, Y Zou…;2020;Solution;EofAI;Federated Learning;System;Academic;No
3;;Deep Reinforcement Learning for Resource Management in Blockchain-Enabled Federated Learning Network;NQ Hieu, TA Tran, CL Nguyen, D Niyato…;2022;Solution;EofAI;Federated Learning;System;Academic;No
4;;Federated learning over wireless channels: Dynamic resource allocation and task scheduling;S Chu, J Li, J Wang, Z Wang, M Ding…;2022;Solution;EofAI;Federated Learning;System;Academic;No
5;;Making resource adaptive to federated learning with COTS mobile devices;Y Deng, S Gu, C Jiao, X Bao, F Lyu;2022;Solution;EofAI;Federated Learning;System;Academic;No
6;;Exploring Deep Reinforcement Learning-Assisted Federated Learning for Online Resource Allocation in Privacy-Preserving Edge IoT;J Zheng, K Li, N Mhaisen, W Ni…;2022;Solution;EofAI;Federated Learning, Accuracy-Energy Trade-off;System;Academic;No
7;;Worker-Centric Model Allocation for Federated Learning in Mobile Edge Computing;H Huang, Y Yang, Z Jiang…;2022;Solution;EofAI;Federated Learning;System;Academic;No
8;;Energy drain of the object detection processing pipeline for mobile devices: Analysis and implications;H Wang, BG Kim, J Xie, Z Han;2020;Solution;EofAI;Monitoring;Device;Mix;No
9;;Machine Learning on Android with Oracle Tribuo, SMILE and Weka;M Szabó;2021;Observational ;EofAI;Benchmark;Device;Academic;No
10;;Context-aware adaptation of mobile video decoding resolution;O Machidon, J Asprov, T Fajfar, V Pejović;2022;Solution;AI4E;Context Adaptation, Approximate Computing;Device;Academic;No
11;;Sparsification and separation of deep learning layers for constrained resource inference on wearables;S Bhattacharya, ND Lane;2016;Solution;EofAI;Model Design;Device;Mix;No
12;;Greenadvisor: A tool for analyzing the impact of software evolution on energy consumption;K Aggarwal, A Hindle, E Stroulia;2015;Solution;AI4E;Monitoring;Device;Academic;Yes
13;;Offloading in mobile cloudlet systems with intermittent connectivity;Y Zhang, D Niyato, P Wang;2015;Solution;AI4E;Offloading;System;Academic;No
14;x;Adaptable mobile cloud computing environment with code transfer based on machine learning;P Nawrocki, B Sniezynski, H Slojewski;2019;Solution;AI4E;Offloading;System;Academic;Yes
15;;Energy efficient resource scheduling using optimization based neural network in mobile cloud computing;P Akki, V Vijayarajan;2020;Solution;AI4E;Offloading;System;Academic;No
